pollster,sponsors,start_date,end_date,sample_size,population,dem,rep,url,mode,tracking,partisan,internal
GfK Group,Associated Press,10/20/2016,10/24/2016,1212,LV,46,41,https://web.archive.org/web/20170131004448/http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf,Probability Panel,FALSE,NA,NA
ABC News/Washington Post,NA,10/21/2016,10/24/2016,828,LV,47,46,https://web.archive.org/web/20170131004448/http://abcnews.go.com/Politics/dead-heat-congress-clintons-advantage-poll/story?id=43047979,Live Phone,FALSE,NA,NA
CNN/Opinion Research Corp.,NA,10/20/2016,10/23/2016,779,LV,50,47,"https://web.archive.org/web/20170131004448/http://i2.cdn.turner.com/cnn/2016/images/10/26/obama,.congress.pdf",Live Phone,FALSE,NA,NA
Selzer & Company,Bloomberg,10/14/2016,10/17/2016,1000,LV,47,43,https://web.archive.org/web/20170131004448/https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rSBkM2tk5hcI/v0,Live Phone,FALSE,NA,NA
ABC News/Washington Post,NA,10/22/2016,10/24/2016,828,LV,47,46,https://web.archive.org/web/20170131004448/http://abcnews.go.com/Politics/stressed-election-youve-company-poll/story?id=43024209,Live Phone,FALSE,NA,NA
Greenberg Quinlan Rosner (Democracy Corps),NA,10/21/2016,10/24/2016,900,LV,37,38,https://web.archive.org/web/20170131004448/http://www.democracycorps.com/National-Surveys/clinton-in-12-point-lead-potential-for-downballot-gains/,Live Phone,FALSE,DEM,NA
Fox News/Anderson Robbins Research/Shaw & Company Research,NA,10/22/2016,10/25/2016,1221,LV,47,45,https://web.archive.org/web/20170131004448/http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/,Live Phone,FALSE,NA,NA
Pew Research Center,NA,9/27/2016,10/10/2016,3596,RV,42,38,https://web.archive.org/web/20170131004448/http://www.people-press.org/2016/10/14/in-presidential-contest-voters-say-basic-facts-not-just-policies-are-in-dispute/,Live Phone,FALSE,NA,NA
Public Religion Research Institute,NA,10/12/2016,10/17/2016,692,LV,52,40,https://web.archive.org/web/20170131004448/http://www.prri.org/wp-content/uploads/2016/10/AVS-2016-Supplement-Topline.pdf,Probability Panel,FALSE,NA,NA
George Washington University (Battleground),NA,10/8/2016,10/13/2016,1000,LV,47,42,https://web.archive.org/web/20170131004448/https://mediarelations.gwu.edu/new-gw-battleground-poll-clinton-begins-pull-away-trump-and-voters-think-she%E2%80%99ll-win,Live Phone,FALSE,NA,NA
CBS News/New York Times,NA,10/12/2016,10/16/2016,1333,RV,46,41,https://web.archive.org/web/20170131004448/http://www.nytimes.com/interactive/2016/11/03/us/politics/poll-times-cbs-news.html,Live Phone,FALSE,NA,NA
ABC News/Washington Post,NA,10/10/2016,10/13/2016,740,LV,47,44,https://web.archive.org/web/20170131004448/http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-national-poll-oct-10-13-2016/2102/,Live Phone,FALSE,NA,NA
NBC News/Wall Street Journal,NA,10/10/2016,10/13/2016,905,LV,46,44,https://web.archive.org/web/20170131004448/http://www.nbcnews.com/politics/first-read/clinton-holds-11-point-national-lead-over-trump-nbc-wsj-n666986,Live Phone,FALSE,NA,NA
Public Policy Polling,NA,9/27/2016,9/28/2016,933,LV,46,41,https://web.archive.org/web/20170131004448/http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_92916.pdf,IVR/Online Opt-In Panel,FALSE,DEM,NA
Google Consumer Surveys,Red Oak Strategic,10/13/2016,10/14/2016,924,LV,34,34,https://web.archive.org/web/20170131004448/https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Oct182016.pdf,Online Opt-In Panel,FALSE,NA,NA
Echelon Insights,NA,9/26/2016,9/27/2016,1833,RV,41,36,https://web.archive.org/web/20170131004448/http://echeloninsights.com/wp-content/uploads/2016/09/post_debate_survey_toplines.pdf,Online Opt-In Panel,FALSE,REP,NA
Selzer & Company,Bloomberg,9/21/2016,9/24/2016,1002,LV,46,44,https://web.archive.org/web/20170131004448/https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rf1VkxwwhH2c/v0,Live Phone,FALSE,NA,NA
Morning Consult,Politico,10/27/2016,10/28/2016,1794,LV,45,40,https://web.archive.org/web/20170131004448/http://projects.fivethirtyeight.com/polls/20161028_US_1.pdf,Online Opt-In Panel,FALSE,NA,NA
Fox News/Anderson Robbins Research/Shaw & Company Research,NA,10/10/2016,10/12/2016,971,LV,48,42,https://web.archive.org/web/20170131004448/http://www.foxnews.com/politics/interactive/2016/10/13/fox-news-poll-october-13-2016/,Live Phone,FALSE,NA,NA
YouGov,The Economist,10/30/2016,11/1/2016,1228,LV,46,41,https://web.archive.org/web/20170131004448/https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0c8pv9xegd/econTabReport.pdf,Online Matched Sample,FALSE,NA,NA
NBC News/Wall Street Journal,NA,10/8/2016,10/10/2016,900,RV,48,42,https://web.archive.org/web/20170131004448/http://www.nbcnews.com/politics/first-read/post-debate-poll-shows-clinton-holding-9-point-lead-over-n664541,Live Phone,FALSE,NA,NA
Marist College,McClatchy,9/15/2016,9/20/2016,758,LV,49,45,https://web.archive.org/web/20170131004448/http://www.mcclatchydc.com/news/politics-government/election/article103597232.ece/BINARY/The%20full%20McClatchy-Marist%20poll,Live Phone,FALSE,NA,NA
GfK Group,Associated Press,9/15/2016,9/19/2016,1251,LV,45,41,https://web.archive.org/web/20170131004448/http://ap-gfkpoll.com/main/wp-content/uploads/2016/09/September-2016-AP-GfK-Poll-Topline-Clinton1.pdf,Probability Panel,FALSE,NA,NA
"Ipsos, online",Reuters,10/25/2016,10/29/2016,1247,LV,42,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Fox News/Anderson Robbins Research/Shaw & Company Research,NA,9/27/2016,9/29/2016,911,LV,44,43,https://web.archive.org/web/20170131004448/http://www.foxnews.com/politics/interactive/2016/09/30/full-fox-news-poll-results-30/,Live Phone,FALSE,NA,NA
YouGov,The Economist,10/22/2016,10/26/2016,1200,LV,45,40,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/,Online Matched Sample,FALSE,NA,NA
Google Consumer Surveys,Red Oak Strategic,9/29/2016,9/30/2016,873,LV,33,36,https://web.archive.org/web/20170131004448/https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Oct32016.pdf,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,10/19/2016,10/20/2016,1395,LV,42,39,https://web.archive.org/web/20170131004448/http://www.politico.com/f/?id=00000157-e699-dd9d-ad7f-efdf0ec20001,Online Opt-In Panel,FALSE,NA,NA
NBC News/Wall Street Journal,NA,9/16/2016,9/19/2016,1000,RV,48,45,https://web.archive.org/web/20170131004448/https://www.scribd.com/document/324821200/16804-NBCWSJ-September-Poll-9-21-Release?secret_password=gKkeD7pKqo5rYoSPNmfU,Live Phone,FALSE,NA,NA
CNN/Opinion Research Corp.,NA,9/1/2016,9/4/2016,786,LV,47,49,https://web.archive.org/web/20170131004448/http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Live Phone,FALSE,NA,NA
"Ipsos, online",Reuters,10/20/2016,10/24/2016,1167,LV,44,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,10/15/2016,10/18/2016,1085,RV,43,38,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/10/19/yougoveconomist-poll-october-15-18-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,10/13/2016,10/15/2016,1737,LV,45,38,https://web.archive.org/web/20170131004448/https://morningconsult.com/wp-content/uploads/2016/10/161007_crosstabs_trend_LIKELYVOTERS_v2_TS.pdf,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,10/10/2016,10/14/2016,2433,LV,44,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,10/15/2016,10/19/2016,1200,LV,41,40,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Google Consumer Surveys,Red Oak Strategic,9/15/2016,9/16/2016,914,LV,32,36,https://web.archive.org/web/20170131004448/https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Sept192016.pdf,Online Opt-In Panel,FALSE,NA,NA
George Washington University (Battleground),NA,8/28/2016,9/1/2016,1000,LV,45,43,https://web.archive.org/web/20170131004448/http://www.realclearpolitics.com/docs/2016/BGGWTarranceGroupLakeResearch.pdf,Live Phone,FALSE,NA,NA
YouGov,The Economist,10/7/2016,10/8/2016,971,RV,42,39,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,10/9/2016,10/10/2016,1757,LV,44,39,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,10/1/2016,10/3/2016,910,RV,43,37,https://web.archive.org/web/20170131004448/https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a27478dsek/econToplines.pdf,Online Matched Sample,FALSE,NA,NA
Marist College,McClatchy,8/1/2016,8/3/2016,983,RV,49,41,https://web.archive.org/web/20170131004448/https://www.scribd.com/document/320225575/McClatchy-Marist-Poll-National-Nature-of-the-Sample-and-Tables-August-2016,Live Phone,FALSE,NA,NA
SurveyMonkey,NBC News,10/24/2016,10/30/2016,43003,LV,47,44,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,10/5/2016,10/9/2016,1131,LV,43,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/30/2016,10/2/2016,1549,RV,44,41,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/10/03/presidential-poll-hillary-clinton-donald-trump-post-debate/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,10/5/2016,10/6/2016,1775,LV,43,41,https://web.archive.org/web/20170131004448/http://projects.fivethirtyeight.com/polls/20161009_National_1.pdf,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,9/30/2016,10/4/2016,1242,LV,42,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/30/2016,10/2/2016,1778,LV,46,37,https://web.archive.org/web/20170131004448/https://morningconsult.com/wp-content/uploads/2016/10/MCTrend10.2-1.pdf,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,9/25/2016,9/29/2016,2088,LV,41,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,9/22/2016,9/24/2016,1300,A,43,38,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/09/25/yougoveconomist-poll-september-22-24-2016/,Online Matched Sample,FALSE,NA,NA
YouGov,The Economist,9/22/2016,9/23/2016,1111,RV,43,38,https://web.archive.org/web/20170131004448/https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/q8r0rkibs1/econTabReport.pdf,Online Matched Sample,FALSE,NA,NA
YouGov,The Economist,9/18/2016,9/19/2016,1060,RV,43,36,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/09/20/yougoveconomist-poll-september-18-19-2016/,Online Matched Sample,FALSE,NA,NA
Google Consumer Surveys,Red Oak Strategic,9/1/2016,9/2/2016,926,LV,35,36,https://web.archive.org/web/20170131004448/https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Sept62016.pdf,Online Opt-In Panel,FALSE,NA,NA
NBC News/Wall Street Journal,NA,7/31/2016,8/3/2016,800,RV,47,43,https://web.archive.org/web/20170131004448/http://www.nbcnews.com/politics/first-read/more-prefer-democrats-control-congress-nbc-news-wsj-poll-n623236,Live Phone,FALSE,NA,NA
Public Policy Polling,NA,7/29/2016,7/30/2016,1276,LV,47,44,https://web.archive.org/web/20170131004448/http://www.publicpolicypolling.com/pdf/2015/NationalMiscellaneousPollJuly2016.pdf,IVR/Online Opt-In Panel,FALSE,DEM,NA
CBS News/New York Times,NA,10/28/2016,11/1/2016,1333,RV,48,44,https://web.archive.org/web/20170131004448/https://www.scribd.com/document/329921718/CBS-NYT-2016-poll-Nov-3,Live Phone,FALSE,NA,NA
SurveyMonkey,NBC News,10/17/2016,10/23/2016,34203,LV,46,44,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
SurveyMonkey,NBC News,10/10/2016,10/16/2016,26569,LV,47,43,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
SurveyMonkey,NBC News,10/3/2016,10/9/2016,27200,LV,46,43,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
SurveyMonkey,NBC News,9/26/2016,10/2/2016,26925,LV,47,43,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/26/2016,9/27/2016,1253,LV,46,38,https://web.archive.org/web/20170131004448/https://morningconsult.com/wp-content/uploads/2016/09/160915_crosstabs_trend_v1_LIKELYVOTERS_AD.pdf,Online Opt-In Panel,FALSE,NA,NA
SurveyMonkey,NBC News,9/19/2016,9/25/2016,13598,LV,47,42,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/22/2016,9/24/2016,1712,LV,43,40,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/09/25/trump-edges-clinton-ahead-first-debate/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,9/20/2016,9/24/2016,1076,LV,40,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,9/15/2016,9/19/2016,1110,LV,39,40,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/15/2016,9/16/2016,1639,LV,45,40,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/09/18/clinton-maintains-lead-trump-despite-health-scare/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,9/10/2016,9/14/2016,1162,LV,44,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,9/10/2016,9/13/2016,1085,RV,44,38,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,9/5/2016,9/9/2016,1085,LV,38,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/6/2016,9/8/2016,1710,LV,44,40,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,9/4/2016,9/6/2016,1073,RV,41,38,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,9/1/2016,9/5/2016,1083.5,LV,40,39,https://web.archive.org/web/20170131004448/http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_9.07_.16_.pdf,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/31/2016,9/4/2016,1090,LV,41,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,9/1/2016,9/2/2016,2001,RV,41,38,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/26/2016,8/30/2016,1360,LV,38,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,8/27/2016,8/29/2016,1112,RV,42,39,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,8/24/2016,8/26/2016,2007,RV,42,39,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/21/2016,8/25/2016,1153,LV,42,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,8/19/2016,8/23/2016,1075,RV,44,37,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/08/24/yougoveconomist-poll-august-19-23-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,8/18/2016,8/20/2016,2001,RV,42,37,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/08/21/trumps-campaign-shakeup-likely-little-late/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/16/2016,8/20/2016,1091,LV,42,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,8/11/2016,8/16/2016,1073,RV,44,35,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/08/16/yougoveconomist-poll-august-14-16-2016/,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,8/11/2016,8/15/2016,1131,LV,41,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,8/11/2016,8/14/2016,2001,RV,43,37,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/08/14/poll-trump-arrests-slide-but-favorability-reaches-new-depths/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/6/2016,8/10/2016,1102,LV,40,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,8/6/2016,8/9/2016,1024,RV,41,39,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/08/09/yougoveconomist-poll-august-6-9-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,8/4/2016,8/5/2016,2001,RV,44,36,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/08/07/clinton-surges-past-trump-rough-week-republicans/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,8/1/2016,8/5/2016,1195,LV,40,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,7/30/2016,8/1/2016,1063,RV,44,36,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/08/01/yougoveconomist-poll-july-30-august-1-2016/,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,7/27/2016,7/31/2016,1308,LV,42,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,7/29/2016,7/30/2016,1931,RV,43,38,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,7/22/2016,7/26/2016,2332,LV,39,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,7/23/2016,7/24/2016,1057,RV,41,39,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/07/25/convention-impact-limited/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,7/22/2016,7/24/2016,2502,RV,41,38,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,7/17/2016,7/21/2016,1279,LV,44,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,7/15/2016,7/17/2016,1046,RV,43,36,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/07/18/yougoveconomist-poll-july-15-17-2016/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,7/14/2016,7/16/2016,2002,RV,44,37,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/07/18/poll-trump-remains-within-striking-distance-clinton-security-issues-rise/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,7/12/2016,7/16/2016,1234,LV,48,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,7/9/2016,7/11/2016,1041,RV,43,36,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/07/12/yougoveconomist-poll-july-9-11-2016/,Online Matched Sample,FALSE,NA,NA
GfK Group,Associated Press,7/7/2016,7/11/2016,837,RV,41,36,https://web.archive.org/web/20170131004448/http://ap-gfkpoll.com/main/wp-content/uploads/2016/07/July-2016-AP-GfK-Poll-Posted-Topline_RDWT_Fundraising_immigration.pdf,Probability Panel,FALSE,NA,NA
"Ipsos, online",Reuters,7/7/2016,7/11/2016,1228,LV,50,33,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,7/8/2016,7/10/2016,2001,RV,44,36,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/07/11/voters-largely-unmoved-potential-vp-picks-poll-shows/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,7/2/2016,7/6/2016,1308,LV,47,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
YouGov,The Economist,7/2/2016,7/4/2016,998,RV,45,36,https://web.archive.org/web/20170131004448/https://today.yougov.com/news/2016/07/06/clinton-maintains-her-lead-particularly-negative-r/,Online Matched Sample,FALSE,NA,NA
Morning Consult,Politico,6/30/2016,7/4/2016,2001,RV,43,37,https://web.archive.org/web/20170131004448/https://morningconsult.com/2016/07/05/clinton-trump-nearly-tied-new-survey/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,6/27/2016,7/1/2016,1344,LV,45,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Fox News/Anderson Robbins Research/Shaw & Company Research,NA,6/26/2016,6/28/2016,1017,RV,46,41,https://web.archive.org/web/20170131004448/http://www.foxnews.com/politics/2016/06/29/fox-news-poll-clinton-up-by-6-points-89-percent-say-hot-headed-describes-trump.html,Live Phone,FALSE,NA,NA
Greenberg Quinlan Rosner (Democracy Corps),NA,6/23/2016,6/28/2016,900,LV,49,41,https://web.archive.org/web/20170131004448/http://www.democracycorps.com/National-Surveys/,Live Phone,FALSE,DEM,NA
YouGov,The Economist,6/24/2016,6/27/2016,1063,RV,42,36,https://web.archive.org/web/20170131004448/http://www.realclearpolitics.com/docs/2016/YouGov_Generic_Congressional_Ballot_June_24_to_27.pdf,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,6/22/2016,6/26/2016,1152,LV,48,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
NBC News/Wall Street Journal,NA,6/19/2016,6/23/2016,1000,RV,46,46,https://web.archive.org/web/20170131004448/https://www.scribd.com/doc/316881192/Nbcwsj-June-Poll,Live Phone,FALSE,NA,NA
"Ipsos, online",Reuters,6/17/2016,6/21/2016,1223,LV,48,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,6/12/2016,6/16/2016,1216,LV,48,33,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,6/7/2016,6/11/2016,1293,LV,50,34,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,6/2/2016,6/6/2016,1339,LV,48,34,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
