pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,subpopulation,population_full,candidate_name,pct,party,url,mode,tracking,partisan,internal,hypothetical,election_date,stage,question_id
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Clay Higgins,44.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219242
Victory Insights,NA,NA,North Carolina,2024-11-26,2024-11-29,NA,LV,R,LV-R,Thomas Roland Tillis,10.8,REP,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_NC-2026_12-2-24.pdf,IVR/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-03-03,primary,216886
Victory Insights,NA,NA,North Carolina,2024-11-26,2024-11-29,NA,LV,R,LV-R,Lara Trump,64.7,REP,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_NC-2026_12-2-24.pdf,IVR/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-03-03,primary,216886
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Daniel Jay Cameron,37,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218164
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Andy Barr,12,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218164
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Kelly Knight Craft,6,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218164
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Nathaniel Ryan Morris,1,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218164
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Kelly Knight Craft,3,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218163
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Thomas Massie,16,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218163
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Andy Barr,10,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218163
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Nathaniel Ryan Morris,0,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218163
co/efficient,NA,NA,Kentucky,2024-12-02,2024-12-03,1298,LV,R,LV-R,Daniel Jay Cameron,32,REP,https://www.kentucky.com/news/politics-government/article300099259.html,IVR/Text,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218163
JMC Analytics,NA,John Fleming,Louisiana,2024-12-24,2024-12-26,600,LV,R,LV-R,John Fleming,40,REP,https://louisianaradionetwork.com/2025/03/05/poll-shows-troubling-signs-for-cassidys-re-election-bid/,NA,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219234
JMC Analytics,NA,John Fleming,Louisiana,2024-12-24,2024-12-26,600,LV,R,LV-R,Bill Cassidy,27,REP,https://louisianaradionetwork.com/2025/03/05/poll-shows-troubling-signs-for-cassidys-re-election-bid/,NA,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219234
JMC Analytics,NA,John Fleming,Louisiana,2024-12-24,2024-12-26,600,LV,R,LV-R,John Fleming,29,REP,https://louisianaradionetwork.com/2025/03/05/poll-shows-troubling-signs-for-cassidys-re-election-bid/,NA,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219235
JMC Analytics,NA,John Fleming,Louisiana,2024-12-24,2024-12-26,600,LV,R,LV-R,Bill Cassidy,27,REP,https://louisianaradionetwork.com/2025/03/05/poll-shows-troubling-signs-for-cassidys-re-election-bid/,NA,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219235
Victory Insights,NA,NA,Texas,2025-01-04,2025-01-06,NA,LV,R,LV-R,John Cornyn,33.8,REP,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_TX-2026_1-8-25.pdf,IVR/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-03-03,primary,217392
Victory Insights,NA,NA,Texas,2025-01-04,2025-01-06,NA,LV,R,LV-R,Ken Paxton Jr.,41.6,REP,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_TX-2026_1-8-25.pdf,IVR/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-03-03,primary,217392
"Fabrizio, Lee & Associates",NA,Ken Paxton Jr.,Texas,2025-01-28,2025-02-02,600,LV,R,LV-R,John Cornyn,28,REP,https://davidblackmon.substack.com/p/new-texas-poll-shows-cornyn-in-serious,NA,FALSE,REP,TRUE,TRUE,2026-03-03,primary,219258
"Fabrizio, Lee & Associates",NA,Ken Paxton Jr.,Texas,2025-01-28,2025-02-02,600,LV,R,LV-R,Ken Paxton Jr.,53,REP,https://davidblackmon.substack.com/p/new-texas-poll-shows-cornyn-in-serious,NA,FALSE,REP,TRUE,TRUE,2026-03-03,primary,219258
Public Policy Polling,Unknown Sponsor,NA,Minnesota,2025-02-14,2025-02-15,668,LV,D,LV-D,Angie Craig,22,DEM,https://projects.fivethirtyeight.com/polls/250219_MN_PPP.pdf,NA,FALSE,DEM,FALSE,TRUE,2026-08-11,primary,218324
Public Policy Polling,Unknown Sponsor,NA,Minnesota,2025-02-14,2025-02-15,668,LV,D,LV-D,Peggy Flanagan,52,DEM,https://projects.fivethirtyeight.com/polls/250219_MN_PPP.pdf,NA,FALSE,DEM,FALSE,TRUE,2026-08-11,primary,218324
"Fabrizio, Lee & Associates",NA,NA,Michigan,2025-02-17,2025-02-19,600,LV,R,LV-R,Tudor M. Dixon,40,REP,https://www.politico.com/newsletters/playbook-pm/2025/03/13/trumps-negotiator-in-chief-00132333,Live Phone/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219237
"Fabrizio, Lee & Associates",NA,NA,Michigan,2025-02-17,2025-02-19,600,LV,R,LV-R,Mike Rogers,36,REP,https://www.politico.com/newsletters/playbook-pm/2025/03/13/trumps-negotiator-in-chief-00132333,Live Phone/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219237
Data for Progress,Texas Majority PAC,NA,Texas,2025-02-19,2025-02-24,412,LV,R,LV-R,Ken Paxton Jr.,49,REP,https://drive.google.com/file/d/1cGJBrdI_1V7lmRc-0H-0daYo-JPa9i8f/view,Online Opt-In Panel/Text-to-Web,FALSE,DEM,FALSE,TRUE,2026-03-03,primary,219268
Data for Progress,Texas Majority PAC,NA,Texas,2025-02-19,2025-02-24,412,LV,R,LV-R,John Cornyn,21,REP,https://drive.google.com/file/d/1cGJBrdI_1V7lmRc-0H-0daYo-JPa9i8f/view,Online Opt-In Panel/Text-to-Web,FALSE,DEM,FALSE,TRUE,2026-03-03,primary,219268
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,John Fleming,40,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219279
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,Eric Skrmetta,2,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219278
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,Blake Miguez,6,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219278
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,Bill Cassidy,27,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219278
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,Bill Cassidy,27,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219279
JMC Analytics,NA,John Fleming,Louisiana,2025-02-24,2025-02-26,600,LV,R,LV-R,John Fleming,29,REP,https://thehayride.com/2025/03/fleming-to-cassidy-hey-cool-poll-ive-got-one-too/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219278
co/efficient,NA,NA,Kentucky,2025-02-25,2025-02-26,1134,LV,R,LV-R,Daniel Jay Cameron,38.9,REP,https://www.semafor.com/article/03/03/2025/mcconnell-protege-daniel-cameron-leads-in-early-kentucky-senate-primary-poll,NA,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218651
co/efficient,NA,NA,Kentucky,2025-02-25,2025-02-26,1134,LV,R,LV-R,Andy Barr,17.6,REP,https://www.semafor.com/article/03/03/2025/mcconnell-protege-daniel-cameron-leads-in-early-kentucky-senate-primary-poll,NA,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218651
co/efficient,NA,NA,Kentucky,2025-02-25,2025-02-26,1134,LV,R,LV-R,Nathaniel Ryan Morris,2.5,REP,https://www.semafor.com/article/03/03/2025/mcconnell-protege-daniel-cameron-leads-in-early-kentucky-senate-primary-poll,NA,FALSE,REP,FALSE,TRUE,2026-05-19,primary,218651
Target Insyght,Michigan Information & Research Service,NA,Michigan,2025-03-03,2025-03-06,344,RV,D,RV-D,Gretchen Whitmer,43,DEM,https://www.deadlinedetroit.com/articles/32917/poll_jocelyn_benson_dominates_mike_duggan_in_governor_s_race,NA,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219236
Target Insyght,Michigan Information & Research Service,NA,Michigan,2025-03-03,2025-03-06,344,RV,D,RV-D,Haley Stevens,4,DEM,https://www.deadlinedetroit.com/articles/32917/poll_jocelyn_benson_dominates_mike_duggan_in_governor_s_race,NA,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219236
Target Insyght,Michigan Information & Research Service,NA,Michigan,2025-03-03,2025-03-06,344,RV,D,RV-D,Pete Buttigieg,27,DEM,https://www.deadlinedetroit.com/articles/32917/poll_jocelyn_benson_dominates_mike_duggan_in_governor_s_race,NA,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219236
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,John Fleming,24.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219250
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Clay Higgins,60.7,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219251
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,31.8,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219251
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,John Fleming,51.4,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219252
Advantage Inc.,Fiscal Alliance Foundation,NA,Massachusetts,2025-03-06,2025-03-12,325,LV,D,LV-D,Edward J. Markey,35.69,DEM,https://assets.nationbuilder.com/fiscalalliancefoundation/pages/135/attachments/original/1741971484/Fiscal_Alliance_Foundation_March_2025_Poll_Results_FINAL.pdf?1741971484,NA,FALSE,NA,FALSE,TRUE,2026-09-15,primary,219239
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Blake Miguez,42.1,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219253
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,37,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219253
Advantage Inc.,Fiscal Alliance Foundation,NA,Massachusetts,2025-03-06,2025-03-12,325,LV,D,LV-D,Jake Auchincloss,23.69,DEM,https://assets.nationbuilder.com/fiscalalliancefoundation/pages/135/attachments/original/1741971484/Fiscal_Alliance_Foundation_March_2025_Poll_Results_FINAL.pdf?1741971484,NA,FALSE,NA,FALSE,TRUE,2026-09-15,primary,219239
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,28.3,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219250
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,33.4,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219252
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Clay Higgins,41.6,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219250
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Julia Letlow,19.7,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219247
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,John Fleming,24.6,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219249
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,28.1,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219249
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Clay Higgins,39.2,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219249
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,33,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219248
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Julia Letlow,55,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219248
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Blake Miguez,4.1,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219247
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,John Fleming,16.8,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219247
Advantage Inc.,Fiscal Alliance Foundation,NA,Massachusetts,2025-03-06,2025-03-12,325,LV,D,LV-D,Edward J. Markey,23.69,DEM,https://assets.nationbuilder.com/fiscalalliancefoundation/pages/135/attachments/original/1741971484/Fiscal_Alliance_Foundation_March_2025_Poll_Results_FINAL.pdf?1741971484,NA,FALSE,NA,FALSE,TRUE,2026-09-15,primary,219238
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Bill Cassidy,23.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219247
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Clay Higgins,30.7,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219247
Trafalgar Group,NA,Clay Higgins,Louisiana,2025-03-06,2025-03-10,1068,LV,R,LV-R,Blake Miguez,3.3,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219249
Advantage Inc.,Fiscal Alliance Foundation,NA,Massachusetts,2025-03-06,2025-03-12,325,LV,D,LV-D,Maura Healey,44,DEM,https://assets.nationbuilder.com/fiscalalliancefoundation/pages/135/attachments/original/1741971484/Fiscal_Alliance_Foundation_March_2025_Poll_Results_FINAL.pdf?1741971484,NA,FALSE,NA,FALSE,TRUE,2026-09-15,primary,219238
Lake Research Partners,Texas Public Opinion Research,NA,Texas,2025-03-07,2025-03-10,NA,NAN,NAN,NAN,Ken Paxton Jr.,38,REP,https://texaspublicopinionresearch.substack.com/p/texas-public-opinion-research-releases,NA,FALSE,NA,FALSE,TRUE,2026-03-03,primary,222573
Lake Research Partners,Texas Public Opinion Research,NA,Texas,2025-03-07,2025-03-10,NA,NAN,NAN,NAN,John Cornyn,27,REP,https://texaspublicopinionresearch.substack.com/p/texas-public-opinion-research-releases,NA,FALSE,NA,FALSE,TRUE,2026-03-03,primary,222573
