issue,pollster,start_date,end_date,sample_size,population,approve,disapprove,net,url,sponsor,mode,tracking,wording_notes,partisan,other_notes
economy,Ipsos,02/13/2025,02/18/2025,2177,RV,48,51,-3,https://docs.google.com/spreadsheets/d/1kdcXmy8B1zajwnb6KUbZ-KxUixlTPoTY3Bg_Bfld0h0/edit?gid=0#gid=0,The Washington Post,Probability Panel,FALSE,NA,NA,NA
economy,Ipsos,02/13/2025,02/18/2025,4125,A,39,47,-8,https://www.ipsos.com/en-us/reutersipsos-large-sample-poll-february-2025,Reuters,Probability Panel,FALSE,NA,NA,NA
economy,Quinnipiac University,02/13/2025,02/17/2025,1039,RV,44,48,-4,https://poll.qu.edu/images/polling/us/us02192025_urxu99.pdf,NA,Live Phone,FALSE,NA,NA,NA
economy,YouGov,05/16/2025,05/19/2025,1710,A,41,48,-7,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
economy,Gallup,02/03/2025,02/16/2025,1004,A,42,54,-12,https://news.gallup.com/poll/656891/trump-job-approval-rating-congress-jumps.aspx,NA,Live Phone,FALSE,NA,NA,NA
economy,YouGov,05/23/2025,05/26/2025,1660,A,42,51,-9,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
economy,YouGov,05/30/2025,06/02/2025,1610,A,42,50,-8,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
economy,Ipsos,01/20/2025,01/21/2025,1077,A,42,36,6,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-01/Reuters%20Ipsos%20Trump%20Inauguration%20Survey%20Topline%20January%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
immigration,Ipsos,03/31/2025,04/02/2025,1486,A,48,44,4,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
immigration,YouGov,03/27/2025,03/28/2025,2609,A,53,47,6,https://www.cbsnews.com/news/opinion-poll-trump-economy-tariffs-deportation-immigration/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
immigration,Harris Insights & Analytics,03/26/2025,03/27/2025,2746,RV,53,47,6,https://harvardharrispoll.com/wp-content/uploads/2025/03/HHP_Mar2025_KeyResults.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
immigration,YouGov,03/22/2025,03/25/2025,1600,A,51,44,7,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,YouGov,03/16/2025,03/18/2025,1618,A,50,45,5,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,RMG Research,03/12/2025,03/19/2025,3000,RV,55,43,12,https://napolitannews.org/posts/president-trump-job-approval-rating-53-percent-approve-45-disapprove,NA,Online Opt-In Panel,TRUE,NA,NA,NA
immigration,Ipsos,03/11/2025,03/12/2025,1422,A,50,41,9,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Tariffs%20Survey%20Topline%2003%2013%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
immigration,Hart Research Associates/Public Opinion Strategies,03/07/2025,03/11/2025,1000,RV,55,43,12,https://www.nbcnews.com/politics/trump-administration/poll-trump-faces-early-challenges-economy-united-gop-backs-big-change-rcna195860,NBC News,Live Phone/Text-to-Web,FALSE,NA,NA,NA
immigration,Emerson College,03/08/2025,03/10/2025,1000,RV,48,40,8,https://emersoncollegepolling.com/national-poll-at-50-days-trumps-honeymoon-fades-as-economy-becomes-key-vulnerability/,NA,Online Opt-In Panel/Text-to-Web/Email,FALSE,NA,NA,NA
immigration,Quinnipiac University,03/06/2025,03/10/2025,1198,RV,46,49,-3,https://poll.qu.edu/images/polling/us/us03132025_ufoz84.pdf,NA,Live Phone,FALSE,NA,NA,NA
immigration,SSRS,03/06/2025,03/09/2025,1206,A,54,46,8,https://s3.documentcloud.org/documents/25558091/cnn-poll-trumps-performance-and-economy.pdf,CNN,Probability Panel,FALSE,NA,NA,NA
immigration,Ipsos,03/03/2025,03/04/2025,1174,A,49,42,7,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Pre%20Joint%20Session%20Congress%20Topline%2003%2004%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
immigration,YouGov,03/01/2025,03/04/2025,1638,A,53,40,13,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uHE5Cxl.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,YouGov,02/26/2025,02/28/2025,2311,A,54,46,8,https://www.cbsnews.com/news/trump-elon-musk-government-workforce-cuts-opinion-poll-2025-03-02/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
immigration,Harris Insights & Analytics,02/19/2025,02/20/2025,2443,RV,56,44,12,https://harvardharrispoll.com/wp-content/uploads/2025/02/HHP_Feb2025_vFinal.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
immigration,YouGov,02/16/2025,02/18/2025,1603,A,51,43,8,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,Ipsos,02/13/2025,02/18/2025,2177,RV,54,45,9,https://docs.google.com/spreadsheets/d/1kdcXmy8B1zajwnb6KUbZ-KxUixlTPoTY3Bg_Bfld0h0/edit?gid=0#gid=0,The Washington Post,Probability Panel,FALSE,NA,NA,NA
immigration,Ipsos,02/13/2025,02/18/2025,4125,A,47,44,3,https://www.ipsos.com/en-us/reutersipsos-large-sample-poll-february-2025,Reuters,Probability Panel,FALSE,NA,NA,NA
immigration,Quinnipiac University,02/13/2025,02/17/2025,1039,RV,46,49,-3,https://poll.qu.edu/images/polling/us/us02192025_urxu99.pdf,NA,Live Phone,FALSE,NA,NA,NA
immigration,Gallup,02/03/2025,02/16/2025,1004,A,46,51,-5,https://news.gallup.com/poll/656891/trump-job-approval-rating-congress-jumps.aspx,NA,Live Phone,FALSE,NA,NA,NA
immigration,YouGov,02/02/2025,02/04/2025,1604,A,51,40,11,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FOXP71G.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,Quinnipiac University,01/23/2025,01/27/2025,1019,RV,47,46,1,https://poll.qu.edu/images/polling/us/us01292025_udik45.pdf,NA,Live Phone,FALSE,NA,NA,NA
immigration,Ipsos,01/20/2025,01/21/2025,1077,A,46,38,8,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-01/Reuters%20Ipsos%20Trump%20Inauguration%20Survey%20Topline%20January%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
inflation,YouGov,03/30/2025,04/01/2025,1626,A,40,53,-13,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,03/27/2025,03/28/2025,2609,A,44,56,-12,https://www.cbsnews.com/news/opinion-poll-trump-economy-tariffs-deportation-immigration/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
inflation,Harris Insights & Analytics,03/26/2025,03/27/2025,2746,RV,43,57,-14,https://harvardharrispoll.com/wp-content/uploads/2025/03/HHP_Mar2025_KeyResults.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
inflation,YouGov,03/22/2025,03/25/2025,1600,A,42,50,-8,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,03/16/2025,03/18/2025,1618,A,42,52,-10,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,Beacon Research/Shaw & Co. Research,03/14/2025,03/17/2025,994,RV,40,58,-18,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/fox_march-14-17-2025_national_topline_march-19-release.pdf,FOX News,Live Phone/Text-to-Web,FALSE,NA,NA,NA
inflation,RMG Research,03/12/2025,03/19/2025,3000,RV,45,52,-7,https://napolitannews.org/posts/president-trump-job-approval-rating-53-percent-approve-45-disapprove,Napolitan News Service,Online Opt-In Panel,TRUE,NA,NA,NA
inflation,YouGov,03/09/2025,03/11/2025,1699,A,38,52,-14,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ddjSlqx.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,Hart Research Associates/Public Opinion Strategies,03/07/2025,03/11/2025,1000,RV,42,55,-13,https://www.nbcnews.com/politics/trump-administration/poll-trump-faces-early-challenges-economy-united-gop-backs-big-change-rcna195860,NBC News,Live Phone/Text-to-Web,FALSE,NA,NA,NA
inflation,YouGov,03/01/2025,03/04/2025,1638,A,42,46,-4,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uHE5Cxl.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,02/26/2025,02/28/2025,2311,A,46,54,-8,https://www.cbsnews.com/news/trump-elon-musk-government-workforce-cuts-opinion-poll-2025-03-02/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,02/23/2025,02/25/2025,1604,A,40,49,-9,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1q7T4HA.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,Harris Insights & Analytics,02/19/2025,02/20/2025,2443,RV,45,55,-10,https://harvardharrispoll.com/all-polls/,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
inflation,YouGov,02/16/2025,02/18/2025,1603,A,43,46,-3,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,Ipsos,02/13/2025,02/18/2025,4125,A,32,52,-20,https://www.ipsos.com/en-us/reutersipsos-large-sample-poll-february-2025,Reuters,Probability Panel,FALSE,NA,NA,NA
inflation,YouGov,02/09/2025,02/11/2025,1595,A,41,48,-7,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nyOrDiw.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,02/02/2025,02/04/2025,1604,A,42,43,-1,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FOXP71G.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,01/26/2025,01/28/2025,1577,A,45,39,6,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_m8tctwx.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
foreign_policy,Ipsos,03/31/2025,04/02/2025,1486,A,34,50,-16,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
foreign_policy,Harris Insights & Analytics,03/26/2025,03/27/2025,2746,RV,45,55,-10,https://harvardharrispoll.com/wp-content/uploads/2025/03/HHP_Mar2025_KeyResults.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
foreign_policy,YouGov,03/16/2025,03/18/2025,1618,A,44,49,-5,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
foreign_policy,Ipsos,03/11/2025,03/12/2025,1422,A,37,48,-11,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Tariffs%20Survey%20Topline%2003%2013%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
foreign_policy,Gallup,03/03/2025,03/16/2025,1002,A,41,55,-14,https://news.gallup.com/poll/658661/republicans-men-push-trump-approval-higher-second-term.aspx,NA,Live Phone,FALSE,NA,NA,NA
foreign_policy,Hart Research Associates/Public Opinion Strategies,03/07/2025,03/11/2025,1000,RV,45,53,-8,https://www.nbcnews.com/politics/trump-administration/poll-trump-faces-early-challenges-economy-united-gop-backs-big-change-rcna195860,NBC News,Live Phone/Text-to-Web,FALSE,NA,NA,NA
foreign_policy,Quinnipiac University,03/06/2025,03/10/2025,1198,RV,42,53,-11,https://poll.qu.edu/images/polling/us/us03132025_ufoz84.pdf,NA,Live Phone,FALSE,NA,NA,NA
foreign_policy,SSRS,03/06/2025,03/09/2025,1206,A,41,59,-18,https://s3.documentcloud.org/documents/25558091/cnn-poll-trumps-performance-and-economy.pdf,CNN,Probability Panel,FALSE,NA,NA,NA
foreign_policy,Ipsos,03/03/2025,03/04/2025,1174,A,37,50,-13,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Pre%20Joint%20Session%20Congress%20Topline%2003%2004%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
foreign_policy,Harris Insights & Analytics,02/19/2025,02/20/2025,2443,RV,48,52,-4,https://harvardharrispoll.com/wp-content/uploads/2025/02/HHP_Feb2025_vFinal.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
foreign_policy,YouGov,02/16/2025,02/18/2025,1603,A,46,43,3,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
foreign_policy,Ipsos,02/13/2025,02/18/2025,4125,A,38,46,-8,https://www.ipsos.com/en-us/reutersipsos-large-sample-poll-february-2025,Reuters,Probability Panel,FALSE,NA,NA,NA
foreign_policy,Quinnipiac University,02/13/2025,02/17/2025,1039,RV,44,48,-4,https://poll.qu.edu/images/polling/us/us02192025_urxu99.pdf,NA,NA,FALSE,NA,NA,NA
foreign_policy,Gallup,02/03/2025,02/16/2025,1004,A,44,53,-9,https://news.gallup.com/poll/656891/trump-job-approval-rating-congress-jumps.aspx,NA,Live Phone,FALSE,NA,NA,NA
foreign_policy,Ipsos,01/20/2025,01/21/2025,1077,A,39,37,2,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-01/Reuters%20Ipsos%20Trump%20Inauguration%20Survey%20Topline%20January%202025.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
trade_tariffs,Ipsos,03/31/2025,04/02/2025,1486,A,34,52,-18,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf,Reuters,Probability Panel,FALSE,NA,NA,NA
trade_tariffs,Morning Consult,03/28/2025,03/30/2025,2210,RV,45,47,-2,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,NA,Online Opt-In Panel,FALSE,NA,NA,NA
trade_tariffs,Quinnipiac University,02/13/2025,02/17/2025,1039,RV,42,49,-7,https://poll.qu.edu/poll-release?releaseid=3919,NA,NA,FALSE,NA,NA,NA
trade_tariffs,Echelon Insights,02/10/2025,02/13/2025,1010,LV,44,49,-5,https://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf,NA,Online Opt-In Panel,FALSE,NA,NA,NA
economy,Echelon Insights,02/10/2025,02/13/2025,1010,LV,49,45,4,https://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf,NA,Online Opt-In Panel,FALSE,NA,NA,NA
immigration,Echelon Insights,02/10/2025,02/13/2025,1010,LV,55,43,12,https://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf,NA,Online Opt-In Panel,FALSE,NA,NA,NA
foreign_policy,Echelon Insights,02/10/2025,02/13/2025,1010,LV,49,44,5,https://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf,NA,Online Opt-In Panel,FALSE,NA,NA,NA
trade_tariffs,Gallup,02/03/2025,02/16/2025,1004,A,42,53,-11,https://news.gallup.com/poll/656891/trump-job-approval-rating-congress-jumps.aspx,NA,Live Phone,FALSE,NA,NA,NA
immigration,Fabrizio Lee & Associates/Impact Research,03/27/2025,04/01/2025,1500,RV,52,47,5,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf,Wall Street Journal,Live Phone/Text-to-Web,FALSE,NA,NA,NA
economy,YouGov,06/06/2025,06/09/2025,1533,A,41,51,-10,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
economy,Quinnipiac University,04/03/2025,04/07/2025,1407,RV,40,55,-15,https://poll.qu.edu/images/polling/us/us04092025_uodc32.pdf,NA,Live Phone,FALSE,NA,NA,NA
foreign_policy,YouGov,04/05/2025,04/08/2025,1741,A,41,49,-8,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
foreign_policy,Quinnipiac University,04/03/2025,04/07/2025,1407,RV,40,54,-14,https://poll.qu.edu/images/polling/us/us04092025_uodc32.pdf,NA,Live Phone,FALSE,NA,NA,NA
immigration,YouGov,04/05/2025,04/08/2025,1741,A,50,44,6,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
immigration,Quinnipiac University,04/03/2025,04/07/2025,1407,RV,45,50,-5,https://poll.qu.edu/images/polling/us/us04092025_uodc32.pdf,NA,Live Phone,FALSE,NA,NA,NA
inflation,YouGov,04/05/2025,04/08/2025,1741,A,36,55,-19,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,Harris Insights & Analytics,04/04/2025,04/07/2025,1883,RV,43,57,-14,https://www.harrisx.com/content/full-harrisx-overnight-poll-tariff-findings,NA,Online Opt-In Panel,TRUE,NA,NA,NA
economy,Harris Insights & Analytics,04/04/2025,04/07/2025,1883,RV,44,56,-12,https://www.harrisx.com/content/full-harrisx-overnight-poll-tariff-findings,NA,Online Opt-In Panel,TRUE,NA,NA,NA
economy,YouGov,04/08/2025,04/11/2025,2410,A,44,56,-12,https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
immigration,YouGov,04/08/2025,04/11/2025,2410,A,50,50,0,https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,04/08/2025,04/11/2025,2410,A,40,60,-20,https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/,CBS News,Online Matched Sample,FALSE,NA,NA,NA
economy,Harris Insights & Analytics,04/09/2025,04/10/2025,2286,RV,43,57,-14,https://www.realclearpolitics.com/docs/2025/HHP_APRIL_Final.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
foreign_policy,Harris Insights & Analytics,04/09/2025,04/10/2025,2286,RV,44,56,-12,https://www.realclearpolitics.com/docs/2025/HHP_APRIL_Final.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
immigration,Harris Insights & Analytics,04/09/2025,04/10/2025,2286,RV,51,49,2,https://www.realclearpolitics.com/docs/2025/HHP_APRIL_Final.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
inflation,Harris Insights & Analytics,04/09/2025,04/10/2025,2286,RV,41,59,-18,https://www.realclearpolitics.com/docs/2025/HHP_APRIL_Final.pdf,Harvard CAPS,Online Opt-In Panel,FALSE,NA,NA,NA
economy,Echelon Insights,04/10/2025,04/14/2025,1014,LV,44,52,-8,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/,NA,Online Opt-In Panel,FALSE,NA,NA,NA
immigration,Echelon Insights,04/10/2025,04/14/2025,1014,LV,54,44,10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/,NA,Online Opt-In Panel,FALSE,NA,NA,NA
foreign_policy,Echelon Insights,04/10/2025,04/14/2025,1014,LV,45,51,-6,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/,NA,Online Opt-In Panel,FALSE,NA,NA,NA
trade_tariffs,Echelon Insights,05/08/2025,05/12/2025,1000,LV,42,54,-12,https://echelonin.wpenginepowered.com/wp-content/uploads/May-2025-Voter-Omnibus-Topline-External.pdf,NA,Online Opt-In Panel,FALSE,NA,NA,NA
economy,YouGov,06/13/2025,06/16/2025,1512,A,41,53,-12,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,04/13/2025,04/15/2025,1329,RV,42,55,-13,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wmD8f2B.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
economy,Hart Research Associates/Public Opinion Strategies,04/09/2025,04/13/2025,1000,A,45,51,-6,https://www.realclearpolitics.com/docs/2025/250084_CNBC_AAES_Q1_2025_Topline_4-17-2025_Release[40].pdf,CNBC,NA,FALSE,NA,NA,NA
foreign_policy,Hart Research Associates/Public Opinion Strategies,04/09/2025,04/13/2025,1000,A,42,53,-11,https://www.realclearpolitics.com/docs/2025/250084_CNBC_AAES_Q1_2025_Topline_4-17-2025_Release[40].pdf,CNBC,NA,FALSE,NA,NA,NA
inflation,Hart Research Associates/Public Opinion Strategies,04/09/2025,04/13/2025,1000,A,37,60,-23,https://www.realclearpolitics.com/docs/2025/250084_CNBC_AAES_Q1_2025_Topline_4-17-2025_Release[40].pdf,CNBC,NA,FALSE,NA,NA,NA
economy,YouGov,06/20/2025,06/23/2025,1590,A,39,51,-12,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uvch8qB.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
inflation,YouGov,04/13/2025,04/15/2025,1512,A,37,55,-18,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wmD8f2B.pdf,The Economist,Online Matched Sample,FALSE,NA,NA,NA
